Player Name,Batting Type,Hand,Pitching Type,Hand Bonus,Season,bruh,,,,
C.W. Mitzel,Contact,Left,,,1,,,,,
Sonny Streaker,Contact,Right,Finesse,,1,,,,,
Bo-Horse Jackman,Neutral,Right,,,1,,,,,
Kevin Arianna,Power,Right,,,1,,,,,
Red Trapper,Power,Left,,,1,,,,,
Art Inova,Power,Left,,,1,,,,,
James Maso,Contact,Right,,,1,,,,,
Xavier Crowbar,Neutral,Right,,,1,,,,,
Mongster Mash,Neutral,Right,,,1,,,,,
Cold Honkey,Power,Right,,,1,,,,,
Trey Paste,Contact,Right,,,1,,,,,
Bix Kayne,Contact,Right,,,1,,,,,
Chocolate Smegma,Contact,Left,,,1,,,,,
Pip Squires,Contact,Right,,,1,,,,,
Scotty Smalls,Contact,Right,,,1,,,,,
James Earl Pwns,Power,Right,,,1,,,,,
Sal Shark,Neutral,Right,Balanced,,1,,,,,
Jay Schwizzle,Contact,Right,Finesse,,1,,,,,
Art Zyz,Contact,Left,,,1,,,,,
Bobson Dugnutt,Contact,Right,,,1,,,,,
Justin Virga,Contact,Right,,,1,,,,,
Caleb VanVacter,Power,Right,,,1,,,,,
Kid Notcher,Contact,Right,,,1,,,,,
I.M. Robbot,Neutral,Right,,,1,,,,,
Max Wasson,Contact,Right,,,1,,,,,
Sonny Scheim,Power,Left,,,1,,,,,
Graham Othrie,Power,Right,,,1,,,,,
Blue Moon Barthelemy,Neutral,Right,,,1,,,,,
Grey Goose McGillicuddy,Contact,Right,,,1,,,,,
Boaty McBoatface,Neutral,Right,,,1,,,,,
Brian Southwell,Neutral,Left,,,1,,,,,
Cy Hadd,Power,Right,Strikeout,,1,,,,,
Oliver Yu,Neutral,Right,Balanced,,1,,,,,
KC Bats,Neutral,Right,,,1,,,,,
Lefty Schweez,Contact,Left,,,1,,,,,
Gil Metz,Power,Right,,,1,,,,,
Kyle Mack,Contact,Right,,,1,,,,,
Miguel Snow,Power,Right,,,1,,,,,
Wei-Chen Rodriguez,Power,Right,,,1,,,,,
Brandon Aconi,Contact,Right,,,1,,,,,
Ross Fire,Contact,Right,,,1,,,,,
Hunter Tuzero,Power,Right,,,1,,,,,
Conrad Love,Neutral,Left,,,1,,,,,
Cambo Dia,Contact,Left,,,1,,,,,
Obi-Wan Canoli,Neutral,Right,,,1,,,,,
Conor McRedgor,Contact,Right,,,1,,,,,
Darth Vader,Neutral,Right,Strikeout,,1,,,,,
Bartholomew Crumblepuff,Power,Left,Balanced,,1,,,,,
Gare Doctor,Neutral,Right,,,1,,,,,
Mike Anderson,Contact,Right,,,1,,,,,
Jameson Poe,Power,Right,,,1,,,,,
Jethro Jammer,Contact,Left,,,1,,,,,
Splash Nelson,Contact,Right,,,1,,,,,
Johnny Hopkins,Neutral,Left,,,1,,,,,
Lance Lummox,Neutral,Right,,,1,,,,,
Albie Smith,Contact,Right,,,1,,,,,
Jimmy Johns,Contact,Left,,,1,,,,,
Baxter Payne,Neutral,Right,,,1,,,,,
Rory Nipponsteer,Power,Right,,,1,,,,,
S. A. R. Dinka,Contact,Right,Finesse,,1,,,,,
Levi Pyram,Contact,Right,Balanced,,1,,,,,
Ryan Gasting,Contact,Left,Strikeout,,1,,,,,
Quentin Adams,Power,Right,,,1,,,,,
Michael Voorhees,Neutral,Left,,,1,,,,,
Vinny Frumdibronks,Power,Right,,,1,,,,,
Graham Grams,Contact,Left,,,1,,,,,
Mike Honcho,Neutral,Right,,,1,,,,,
Lane Drew,Contact,Left,,,1,,,,,
Forrest Gleeson,Neutral,Right,,,1,,,,,
Thomas Berry,Contact,Right,,,1,,,,,
Victor Justice,Neutral,Left,,,1,,,,,
Augie Neintinowan,Contact,Right,,,1,,,,,
Ziggy Ceder,Contact,Right,,,1,,,,,
Jay Bedia,Power,Left,Strikeout,,1,,,,,
Hudson Hildebrandt,Power,Right,Finesse,,1,,,,,
Mylo Grams,Contact,Right,,,1,,,,,
Bo Kinsella,Neutral,Right,,,1,,,,,
Osmosis Jones,Contact,Left,,,1,,,,,
Gene Hennig,Contact,Right,,,1,,,,,
Humphrey Carter,Neutral,Left,,,1,,,,,
Nathaniel Booth,Power,Left,,,1,,,,,
Larry Wayne,Power,Right,,,1,,,,,
Durgesh O'Leary,Power,Left,,,1,,,,,
Jason Girth,Power,Right,,,1,,,,,
Donnie Lindsanity,Power,Right,,,1,,,,,
Rusty LaRue,Neutral,Left,,,1,,,,,
Herrera O'Doubles,Contact,Left,,,1,,,,,
Chad Barrett,Neutral,Right,,,1,,,,,
Ramicus,Contact,Right,Strikeout,,1,,,,,
falcs51,Contact,Right,,,1,,,,,
Master Cashier,Power,Left,,,1,,,,,
Aaron Range,Contact,Left,,,1,,,,,
Rupert Apple,Neutral,Right,,,1,,,,,
Rick Gymnast,Contact,Right,,,1,,,,,
Hashcoin Shitstorm,Power,Right,,,1,,,,,
Timothy Moyer,Neutral,Left,Balanced,,1,,,,,
Ricky Steele,Neutral,Right,,,1,,,,,
Hyper Scoops,Contact,Right,,,1,,,,,
John C. Johnson,???,Right,,,1,,,,,
Khalil Underscore,Power,???,,,1,,,,,
William Constantine,???,???,,,1,,,,,
Villar Porn,???,???,,,1,,,,,
Donked McToad,Neutral,Left,Strikeout,,2,bruh,,,,
Rub A. Chikin,Contact,Left,Balanced,,2,,,,,
Syd Kidd,Contact,Left,Balanced,,2,,,,,
Garren Smudge,Neutral,Left,,,2,,,,,
Xavier Quinn Jr.,Contact,Right,,,2,,,,,
Charles Moore,Power,Right,,,2,,,,,
Dominick Vielbaum,Power,Left,,,2,,,,,
Kid Notcher,Contact,Right,,,2,,,,,
Will Power,Neutral,Right,,,2,,,,,
Tsar Zaar,Contact,Right,,,2,,,,,
Tequila Sunrise,Neutral,Right,,,2,,,,,
Dom Stakes,Contact,Right,,,2,,,,,
Assassin Panda,Power,Left,,,2,,,,,
A.Z. Chapman,Power,Right,,,2,,,,,
Matty Lynn,Neutral,Right,,,2,,,,,
Thomas Chiggins,Power,Right,,,2,,,,,
Charles Magnus,Power,Right,,,2,,,,,
Rob Pancakes,Contact,Left,Strikeout,,2,,,,,
Chipper Dipper,Neutral,Right,Strikeout,,2,,,,,
Charlie Yeagar,Contact,Left,Balanced,,2,,,,,
Indy Sayne,Contact,Right,,,2,,,,,
Hans Goober,Contact,Right,,,2,,,,,
Nikki Falke,Contact,Left,,,2,,,,,
Ludd van Shark,Neutral,Right,,,2,,,,,
Nikolas Romero,Neutral,Right,,,2,,,,,
Mike Hunt,Power,Right,,,2,,,,,
Sam Smith,Power,Right,,,2,,,,,
Bernie Petrol,Neutral,Right,,,2,,,,,
Earl Leicester,Power,Left,,,2,,,,,
Scherbie Fully-Loaded,Contact,Right,,,2,,,,,
Meerkat Timmons,Contact,Right,,,2,,,,,
Augie Neintinowan,Contact,Right,,,2,,,,,
Whit Merto,Contact,Right,,,2,,,,,
Hudson Quin,Power,Left,Strikeout,,2,,,,,
Silver Edgeworth,Power,Right,Finesse,,2,,,,,
Michael Voorhees,Neutral,Left,,,2,,,,,
Lefty Schweez,Contact,Left,,,2,,,,,
Rusty Shackleford,Power,Left,,,2,,,,,
Jay Money,Contact,Right,,,2,,,,,
Ben Beezle,Contact,Right,,,2,,,,,
Jay Embee,Neutral,Right,,,2,,,,,
Chuck McCluster,Power,Right,,,2,,,,,
Oscar Vegas,Contact,Left,,,2,,,,,
Larry Longshot,Neutral,Right,,,2,,,,,
Grigury Polinko,Contact,Left,,,2,,,,,
Tommy Foxconn,Neutral,Right,Finesse,,2,,,,,
Jarace Walker,Power,Right,Strikeout,,2,,,,,
Angel Leon,Neutral,Right,Strikeout,,2,,,,,
Eric Cowan,Neutral,Right,,,2,,,,,
Thaddeus Gomorrah,Contact,Right,,,2,,,,,
Filthy Frank,Power,Left,,,2,,,,,
Valentino Rollin,Power,Left,,,2,,,,,
Hingle McCringleberry,Neutral,Right,,,2,,,,,
Rick McLightning,Neutral,Right,,,2,,,,,
G.H. Morello,Power,Right,,,2,,,,,
Xavier Martinez,Power,Right,,,2,,,,,
Ovaltine Jenkins,Contact,Right,,,2,,,,,
Brohei Brohtani,Power,Left,,,2,,,,,
Cook Froster,Contact,Right,,,2,,,,,
Tom Crean,Contact,Left,,,2,,,,,
Ian Pritchard,Contact,Left,,,2,,,,,
Lightning Balls,Contact,Right,,,2,,,,,
Garrett Evans,Contact,Right,Strikeout,,2,,,,,
Hank Murphy,Power,Right,Finesse,,2,,,,,
Tanner Hendrix,Neutral,Left,Strikeout,,2,,,,,
Ronnie Voss,Contact,Right,,,2,,,,,
Patrick Doyle,Power,Right,,,2,,,,,
"Ronald Eagle, Sr.",Contact,Left,,,2,,,,,
Jumbo Dick,Power,Left,,,2,,,,,
Steel Pipe Simpson,Power,Left,,,2,,,,,
Ralph Smith,Contact,Right,,,2,,,,,
Dick McScrotington IV,Neutral,Right,,,2,,,,,
Pretzels Poffenberger,Neutral,Right,,,2,,,,,
John Bumbus,Contact,Right,,,2,,,,,
Boof Veiz,Contact,Right,,,2,,,,,
Tony Provtree,Contact,Right,,,2,,,,,
"Joshua ""Junior"" Roth",Neutral,Right,,,2,,,,,
Jesse Kilgannon,Contact,Right,,,2,,,,,
Haywood Jablome,Power,Right,,,2,,,,,
Gottlieb Giannopoulos,Contact,Right,,,2,,,,,
Dick Woolridge,Power,Right,Strikeout,,2,,,,,
Penny Lane,Contact,Right,Finesse,,2,,,,,
Scottish Tweegy,Contact,Right,,,2,,,,,
Tyler Phoenix,Contact,Right,,,2,,,,,
Merodach Baladan,Contact,Right,,,2,,,,,
John Johnson Jr.,Power,Right,,,2,,,,,
Kenneth Moore,Neutral,Left,,,2,,,,,
Mason Spurs,Contact,Left,,,2,,,,,
Hans Ali,Contact,Right,,,2,,,,,
Morris Deratt,Neutral,Left,,,2,,,,,
Master Cashier,Neutral,Left,,,2,,,,,
Mike Oxlittle,Neutral,Right,,,2,,,,,
Sevag Vapor,Contact,Right,,,2,,,,,
Otis Nixon Sr.,Power,Left,,,2,,,,,
Owen Uridge,Neutral,Right,Finesse,,2,,,,,
Jerome Garcia,Contact,Right,Strikeout,,2,,,,,
Bo-Horse Jackman,Neutral,Right,,,2,,,,,
Dakota Carolina Montana,Contact,Right,,,2,,,,,
Fat Batter,Power,Left,,,2,,,,,
Derek Bongiovanni,Contact,Right,,,2,,,,,
Bear Thomas,Neutral,Right,,,2,,,,,
Riles McGiles,Contact,Right,,,2,,,,,
Buck Cheeks,Power,Left,,,2,,,,,
Triston Uzumaki,Contact,Right,,,2,,,,,
Peter Peckershine,Contact,Right,,,2,,,,,
Garrett Ipnov,Contact,Right,,,2,,,,,
Artie Ziff,Neutral,Left,Strikeout,,2,,,,,
Hoagie Sauce,Neutral,Right,Strikeout,,2,,,,,
Maxo Caluow,Contact,Left,,,2,,,,,
Aych Imtiyaz,Contact,Right,,,2,,,,,
Clipper Charge,Contact,Right,,,2,,,,,
Lee Allen Ripley,Contact,Right,,,2,,,,,
Valentino Sanchez,Neutral,Right,,,2,,,,,
Ted James III,Contact,Right,,,2,,,,,
Fernando Cruz,Power,Right,,,2,,,,,
Jeorjhe Jerome,Power,Right,,,2,,,,,
Scotty Smalls,Contact,Right,,,2,,,,,
Clifton Outlaw,Neutral,Left,,,2,,,,,
Dill Pickle,Neutral,Right,,,2,,,,,
Brigham Young,Contact,Right,,,2,,,,,
Harvey Bargeparge,Contact,Right,Strikeout,,2,,,,,
Logan Anderson,Contact,Right,Finesse,,2,,,,,
Patrick Stump,Power,Right,,,2,,,,,
Gil Metz,Power,Right,,,2,,,,,
Trontavious Saddlebags,Power,Right,,,2,,,,,
J.J. Guemes,Contact,Right,,,2,,,,,
Autumn Halladay,Contact,Left,,,2,,,,,
Baba Booey,Power,Right,,,2,,,,,
Chocolate Smegma,Contact,Left,,,2,,,,,
Casey Jones,Power,Right,,,2,,,,,
Arata Hightower,Neutral,Right,,,2,,,,,
Jazzy Jeff,Neutral,Right,,,2,,,,,
S.K. Brettbug,Contact,Left,,,2,,,,,
Amir Valerie Hurwitz,Neutral,Right,,,2,,,,,
Cal Tiberius Jr.,Neutral,Left,Finesse,,2,,,,,
Buttholo Colón,Neutral,Left,Strikeout,,2,,,,,
Thomas Beowulf,Contact,Right,Balanced,,2,,,,,
Y.E. Wally,Power,Right,,,2,,,,,
Doob Tuber,Contact,Left,,,2,,,,,
King Fielder,Power,Right,,,2,,,,,
Bingo Bongo,Contact,Right,,,2,,,,,
Trey Rangers,Neutral,Right,,,2,,,,,
Zachary Benz,Contact,Right,,,2,,,,,
Paddy O'Sullivan,Neutral,Right,,,2,,,,,
Charles Lindberg,Power,Left,,,2,,,,,
Phil Coulson,Contact,Left,,,2,,,,,
Matt Verdin,Neutral,Right,,,2,,,,,
Karl Jernigan,Contact,Right,,,2,,,,,
Sadler Oriole,Contact,Right,,,2,,,,,
Demondre Bradford,Contact,Right,,,2,,,,,
Jake Blee,Power,Right,,,2,,,,,
Mike T. Thumb,Power,Right,,,2,,,,,
Pete Jones,Neutral,Left,Finesse,,2,,,,,
Jeff Steelflex,Contact,Left,Strikeout,,2,,,,,
Joe Runzer,Contact,Right,Finesse,,2,,,,,
Dog Man,Contact,Right,,,2,,,,,
Jack Kasutori,Contact,Right,,,2,,,,,
Darren Dingerball,Power,Right,,,2,,,,,
Max Wasson,Contact,Right,,,2,,,,,
Phoenix McDouglas,Neutral,Left,,,2,,,,,
Justin Dingers,Neutral,Right,,,2,,,,,
Richard Firr,Contact,Right,,,2,,,,,
Oliver Yu,Neutral,Right,Balanced,,2,,,,,
Joel Embiid,Contact,Left,Finesse,,2,,,,,
Hudson Hildebrandt,Power,Left,Strikeout,,2,,,,,
KC Bats,Neutral,Right,,,2,,,,,
Willie Dustice,Power,Left,,,2,,,,,
Ravittsu Suramub?to,Neutral,Right,,,2,,,,,
B.B. Bambino Jr.,Contact,Right,,,2,,,,,
Kyle Mack,Contact,Right,,,2,,,,,
Charlie Bae Jr.,Contact,Right,,,2,,,,,
Jamison Wells,Contact,Right,,,2,,,,,
Miguel Snow,Power,Right,,,2,,,,,
Henrik Omega,Power,Left,,,2,,,,,
Jake Wilson,Neutral,Right,,,2,,,,,
Fly Spaceman,Neutral,Left,,,2,,,,,
Conrad Love,Neutral,Left,,,2,,,,,
Tommy Brown,Neutral,Left,,,2,,,,,
Pip Squires,Contact,Right,,,2,,,,,
Jackson Takegi,Contact,Right,,,2,,,,,
Zack Andersen,Contact,Right,,,2,,,,,
Darth Vader,Neutral,Right,Strikeout,,2,,,,,
Dylan Green,Neutral,Right,Strikeout,,2,,,,,
Gare Doctor,Neutral,Right,,,2,,,,,
Moose McCracken,Contact,Right,,,2,,,,,
Viking Fishbird,Power,Right,,,2,,,,,
Emer Bock,Neutral,Left,,,2,,,,,
Splash Nelson,Contact,Right,,,2,,,,,
Buckeye Logan II,Contact,Right,,,2,,,,,
Hes Nahstee,Power,Left,,,2,,,,,
Junior Biggins,Contact,Left,,,2,,,,,
Lance Lummox,Neutral,Right,,,2,,,,,
Jimmy Johns,Contact,Left,,,2,,,,,
Ashton Westenburg,Contact,Right,,,2,,,,,
Joey Bagpipes,Power,Right,,,2,,,,,
Lim Tincecum,Contact,Right,Finesse,,2,,,,,
Kyle Grimes Jr.,Power,Right,Finesse,,2,,,,,
Sylvester Cinnamon,Power,Left,Strikeout,,2,,,,,
C.J. Yantzi,Contact,Right,,,2,,,,,
Aleister Xekutioner,Power,Left,,,2,,,,,
Forehead Jones,Power,Left,,,2,,,,,
Caleb Athen,Neutral,Left,,,2,,,,,
Seth Hansen,Power,Left,,,2,,,,,
Midoriya Izuku,Contact,Right,,,2,,,,,
Golly McOxbig,Contact,Right,,,2,,,,,
Dwendle van Hammersmith,Contact,Right,,,2,,,,,
Catfish O'Acid,Contact,Right,,,2,,,,,
Rambo McFly,Neutral,Left,,,2,,,,,
KayLee Stewart,Neutral,Left,,,2,,,,,
Kent Griffey III,Neutral,Left,,,2,,,,,
Joe Watson,Neutral,Right,,,2,,,,,
Rory Nipponsteer,Power,Right,,,2,,,,,
Villar Porn,Neutral,Right,Strikeout,,2,,,,,
Cameron Brate,Contact,Left,Finesse,,2,,,,,
Moritz Stiefel,Contact,Right,Balanced,,2,,,,,
Moe Lester,Contact,Left,Finesse,,2,,,,,
Sonny Streaker,Contact,Right,Finesse,,2,,,,,
Burt Maclin,Power,Left,,,2,,,,,
Vlad III,Neutral,Right,,,2,,,,,
Lemmy Fraser,Neutral,Right,,,2,,,,,
Poo Diego,Neutral,Right,,,2,,,,,
Chuck Tingle,Power,Left,,,2,,,,,
Tyler Palmatier,Power,Right,,,2,,,,,
Rob Atkins,Contact,Right,,,2,,,,,
Casey Nine,Contact,Left,,,2,,,,,
Carter Strong,Contact,Left,,,2,,,,,
Giminy Schlimjim,Contact,Right,,,2,,,,,
Trey Paste,Contact,Right,,,2,,,,,
Sea Bass,Neutral,Left,,,2,,,,,
Puckun Huckingly,Neutral,Right,,,2,,,,,
Jeffrey Nolan,Power,Right,,,2,,,,,
Rex Kidobi,Contact,Left,,,2,,,,,
Andrew Peters,Contact,Left,Strikeout,,2,,,,,
Daniel Collins,Neutral,Left,Strikeout,,2,,,,,
Dane Konrad,Contact,Left,Strikeout,,2,,,,,
Bartholemew Masters,Neutral,Left,Strikeout,,2,,,,,
Thomas Nova,Power,Left,,,2,,,,,
Picov Andropov,Contact,Right,,,2,,,,,
Kegs Mabry,Power,Left,,,2,,,,,
Packer Jacker,Contact,Left,,,2,,,,,
Jonathan Park,Power,Right,,,2,,,,,
Mongster Mash,Neutral,Right,,,2,,,,,
Ty Johnson,Power,Right,,,2,,,,,
Andrew Sourdough,Contact,Right,,,2,,,,,
Hunter Tuzero,Power,Right,,,2,,,,,
Alexander Hamilton,Contact,Left,,,2,,,,,
Kentho Birne,Contact,Left,,,2,,,,,
Dan Gerzone,Neutral,Right,Strikeout,,2,,,,,
Whitt Bass,Neutral,Right,Finesse,,2,,,,,
Forrest Saathoff,Neutral,Right,,,2,,,,,
Stan Mann,Power,Right,,,2,,,,,
Dark Bobman,Contact,Right,,,2,,,,,
Supreme Asslord,Contact,Left,,,2,,,,,
Connor Morgan,Neutral,Right,,,2,,,,,
Jingo Bajingo,Power,Right,,,2,,,,,
Marcus Hammond,Neutral,Right,,,2,,,,,
Duke Nukem,Power,Left,,,2,,,,,
Buzz Schwinghammer,Power,Right,,,2,,,,,
Tre Nichols,Contact,Left,,,2,,,,,
Ed Turner,Contact,Right,Finesse,,2,,,,,
Einhorn,Contact,Right,Strikeout,,2,,,,,
Wade Wilson,Neutral,Right,Finesse,,2,,,,,
Willoughby Hoose,Power,Left,Strikeout,,2,,,,,
Isaac Saffron,Contact,Left,,,2,,,,,
Grimm Carp,Power,Right,,,2,,,,,
Red Trapper,Power,Left,,,2,,,,,
Conor Sexton,Neutral,Left,,,2,,,,,
Lawrence Wiseman,Power,Right,,,2,,,,,
Juan Diego De Las Rosas,Contact,Right,,,2,,,,,
Fuzzy Dunlop,Neutral,Left,,,2,,,,,
Storm Johnson,Contact,Right,,,2,,,,,
Alex Brown,Neutral,Left,,,2,,,,,
Dominus Nominus,Neutral,Right,,,2,,,,,
Babatunde Oladotun,Power,Right,,,2,,,,,
Swing N. Miss,Contact,Right,,,2,,,,,
Anatoli Smorin,Contact,Left,,,2,,,,,
Javier Abiscal,Contact,Left,,,2,,,,,
Basebally McBaseballface,Neutral,Right,,,2,,,,,
Superbone Threefinger,Contact,Right,Finesse,,2,,,,,
Icna Comit,Neutral,Left,Finesse,,2,,,,,
Barney Summers,Contact,Left,,,2,,,,,
Joe Random,Power,Right,,,2,,,,,
Dallas Houston,Power,Right,,,2,,,,,
Duke McCracken,Power,Right,,,2,,,,,
John Fitz,Contact,Right,,,2,,,,,
Ross Fire,Contact,Right,,,2,,,,,
Willy Ware,Contact,Right,,,2,,,,,
Dixie Wrecked,Power,Left,,,2,,,,,
Spike McBride,Neutral,Right,,,2,,,,,
Drew Cruz,Power,Left,,,2,,,,,
Joe Trundle,Power,Right,,,2,,,,,
S.A.R. Dinka,Contact,Right,Finesse,,2,,,,,
Levi Pyram,Contact,Right,Balanced,,2,,,,,
Ryan Gasting,Contact,Left,Strikeout,,2,,,,,
Quentin Adams,Power,Right,,,2,,,,,
Mylo Grams,Contact,Right,,,2,,,,,
Deirf Smith,Contact,Left,,,2,,,,,
Joey McCarty,Power,Right,,,2,,,,,
Graham Grams,Contact,Left,,,2,,,,,
Mike Honcho,Neutral,Right,,,2,,,,,
Sven Jorgenson,Contact,Right,,,2,,,,,
Lane Drew,Contact,Left,,,2,,,,,
Forrest Gleeson,Neutral,Right,,,2,,,,,
Stephen Seconds,Neutral,Left,,,2,,,,,
Thomas Berry,Contact,Right,,,2,,,,,
Victor Justice,Neutral,Left,,,2,,,,,
Ziggy Ceder,Contact,Right,,,2,,,,,
Julio Cesar,Neutral,Right,,,2,,,,,
Danger Steele,Contact,Left,Finesse,,2,,,,,
Leonidas Webster,Power,Left,,,2,,,,,
Ambiorix Madhavapeddy,Contact,Left,Finesse,,2,,,,,
Rex Snare,Power,Right,,,2,,,,,
JaMarcus Speed,Contact,Right,,,2,,,,,
Chris Keebler,Neutral,Right,,,2,,,,,
Deezy White,Contact,Left,,,2,,,,,
Mike Litterus,Neutral,Left,,,2,,,,,
Teo Jones,Contact,Right,,,2,,,,,
Ryan Pleasants,Contact,Right,,,2,,,,,
Xavier Crowbar,Neutral,Right,,,2,,,,,
"Jim ""Slim"" Levis",Contact,Left,,,2,,,,,
Billy Cutgrass,Power,Left,,,2,,,,,
Vince Monster,Neutral,Left,,,2,,,,,
Brandon Aconi,Contact,Right,,,2,,,,,
Mike Anderson,Contact,Right,,,2,,,,,
James McGee,Neutral,Right,,,2,,,,,
Martin Barnar,Power,Right,,,2,,,,,
Cardith Buxton,Contact,Left,,,2,,,,,
Cy Hadd,Power,Right,Strikeout,,2,,,,,
Ox Bullhorn,Contact,Right,,,2,,,,,
Kent F. Corey III,Contact,Left,Finesse,,2,,,,,
"""Slippery"" Pete Johnson",Neutral,Left,,,2,,,,,
Jordan Peppers,Neutral,Right,,,2,,,,,
H.B. Boink,Contact,Right,,,2,,,,,
C.J. Bastian,Power,Left,,,2,,,,,
Blaine Bridgestone,Power,Left,Finesse,,2,,,,,
John Cheenah,Power,Left,,,2,,,,,
Joey Powers,Power,Left,Strikeout,,2,,,,,
Kawabunga Joe,Contact,Right,Finesse,,2,,,,,
Jonathan Hadley,Power,Right,,,2,,,,,
Nick Knuckles,Contact,Right,,,2,,,,,
Randy Nummer,Neutral,Left,,,2,,,,,
Norwood McKenzie,Power,Left,Strikeout,,2,,,,,
Jace LeTourneau,Power,Left,,,2,,,,,
Herrera O'Doubles,Contact,Left,,,2,,,,,
Diligent Moose,Power,Left,,,2,,,,,
Marcel Hoffer,Power,Right,Strikeout,,2,,,,,
Ozanam Columbus,Neutral,Left,,,2,,,,,
Sloppy Thurston,Neutral,Right,Strikeout,,2,,,,,
Bracton Abella,Neutral,Right,Balanced,,2,,,,,
Dilly Dilly,Contact,Left,Strikeout,,2,,,,,
Finnegan Freudenberger,Contact,Left,,,2,,,,,
Schlong Schmeckle,Power,Right,Finesse,,2,,,,,
Dougie McElroy,Neutral,Left,Finesse,,2,,,,,
Bo Kinsella,Neutral,Right,,,2,,,,,
Connor Carter,Neutral,Left,,,2,,,,,
Monique Reampie,Contact,Right,Finesse,,2,,,,,
